akamai-sirt	Akamai Security Intelligence Group	research
bleepingcomputer	BleepingComputer	news,breaches
checkpoint-research	Check Point Research	research
cisa-news	CISA News	gov,news
citizen-lab	Citizen Lab	research,gov
cloudflare-cf1	Cloudflare Cloudforce One	research
compass-security	Compass Security Blog	ch-eu,research
crowdstrike	CrowdStrike Threat Research	gov,research
cyberscoop	CyberScoop	news
darkreading	Dark Reading (RSS)	news
dfirreport	The DFIR Report	research
dragos	Dragos	ot-ics,research
elastic-seclabs	Elastic Security Labs	research
eset	ESET WeLiveSecurity	research
google-tag	Google Threat Analysis Group (TAG)	research,gov
greynoise	GreyNoise Labs	vulns,research
hackernews	The Hacker News (RSS)	news
heise-sec	heise Security	ch-eu,news
helpnetsecurity	Help Net Security	news
huntress	Huntress Labs	research
ibm-xforce	IBM X-Force	research,gov
infoguard-ch	InfoGuard	ch-eu,research
infosec-magazine	Infosecurity Magazine (RSS)	news
inside-it-ch	Inside IT Switzerland	ch-eu,news
intel471	Intel 471 Blog	research
kaspersky-securelist	Kaspersky Securelist (GReAT)	research
krebs	Krebs on Security	news
kudelski-security	Kudelski Security Research	ch-eu,research
le-monde-info	Le Monde Informatique	ch-eu,news
malwarebytes	Malwarebytes Labs	news,research
mandiant-gtig	Google Cloud / Mandiant (GTIG)	gov,research
msft-ti	Microsoft Threat Intelligence	gov,research
ncc-research	NCC Group Research	ch-eu,research
oneconsult-ch	OneConsult	ch-eu,research
prodaft	PRODAFT — Reports	ch-eu,research
projectzero	Google Project Zero	vulns,research
push-security	Push Security Blog	research
rapid7-research	Rapid7 Research	vulns,research
recordedfuture-insikt	Recorded Future Insikt Group	research,gov
redcanary	Red Canary	research
risky-biz-news	Risky Biz News (Newsletter / Catalin Cimpanu)	news
sans-ics	SANS ICS	ot-ics,research
sans-isc	SANS Internet Storm Center	research,news
sans-newsbites	SANS NewsBites	news
schneier	Schneier on Security	news
scip-ch	scip AG	ch-eu,research
securityaffairs	Security Affairs	news
securityweek	SecurityWeek	news
sekoia	Sekoia.io blog	ch-eu,research
sentinellabs	SentinelOne / SentinelLabs	research
shadowserver	Shadowserver Foundation — News & Insights	research,active-breaking
socprime	SOC Prime	research
sophos-xops	Sophos X-Ops (incl. former Secureworks CTU)	research
sygnia	Sygnia	research
talos	Cisco Talos	research
tenable-research	Tenable Research	vulns,research
therecord	The Record (Recorded Future News)	news
trellix	Trellix Blogs	research
trendmicro-research	Trend Micro Research	research
troyhunt	Troy Hunt — Have I Been Pwned	news,breaches
truesec	Truesec	ch-eu,research
trustwave-spiderlabs	LevelBlue (formerly Trustwave) SpiderLabs	research,vulns
unit42	Palo Alto Networks Unit 42	research
volexity	Volexity	research
watchtowr	watchTowr Labs	vulns,research
withsecure-labs	WithSecure Labs	ch-eu,research
wiz-blog	Wiz Research Blog	vulns,research
zdi	Zero Day Initiative	vulns,research
