advisories-ncsc-nl	NCSC-NL — Security Advisories (RSS)	ch-eu,gov,active-breaking,vulns	HIGH
akamai-sirt	Akamai Security Intelligence Group	research	HIGH
anssi-fr	ANSSI / CERT-FR	ch-eu,gov,active-breaking	HIGH
apple-security	Apple Security Advisories	vulns,vendor-psirt	HIGH
bleepingcomputer	BleepingComputer	news,breaches	MEDIUM
bsi-de	BSI Germany — CERT-Bund WID (RSS)	ch-eu,gov,active-breaking,vulns	HIGH
cert-at	CERT.at (Austria)	ch-eu,gov	HIGH
cert-eu	CERT-EU	ch-eu,gov,active-breaking	HIGH
cert-pl	CERT Polska / NASK	ch-eu,gov,active-breaking	HIGH
checkpoint-research	Check Point Research	research	HIGH
chrome-releases	Chrome Releases (Security Updates)	vulns,vendor-psirt	HIGH
cisa-advisories	CISA Cybersecurity Advisories	active-breaking,gov	HIGH
cisa-directives	CISA Directives	gov,active-breaking	HIGH
cisa-kev	CISA Known Exploited Vulnerabilities Catalog	vulns,active-breaking	HIGH
cisa-news	CISA News	gov,news	HIGH
cisco-psirt	Cisco PSIRT (RSS)	vulns,vendor-psirt	HIGH
citizen-lab	Citizen Lab	research,gov	HIGH
cloudflare-cf1	Cloudflare Cloudforce One	research	HIGH
cnil-fr	CNIL France	breaches,ch-eu	HIGH
compass-security	Compass Security Blog	ch-eu,research	HIGH
crowdstrike	CrowdStrike Threat Research	gov,research	HIGH
csirt-acn-it	CSIRT Italia (ACN) — Alert e bollettini	ch-eu,gov	HIGH
cyberscoop	CyberScoop	news	HIGH
darkreading	Dark Reading (RSS)	news	MEDIUM
databreaches-net	DataBreaches.net	breaches	HIGH
dfirreport	The DFIR Report	research	HIGH
dragos	Dragos	ot-ics,research	HIGH
edpb	European Data Protection Board	breaches,ch-eu	HIGH
elastic-seclabs	Elastic Security Labs	research	HIGH
enisa	ENISA	ch-eu,gov	HIGH
eset	ESET WeLiveSecurity	research	HIGH
google-tag	Google Threat Analysis Group (TAG)	research,gov	HIGH
govcert-at	GovCERT Austria	ch-eu,gov	MEDIUM
greynoise	GreyNoise Labs	vulns,research	HIGH
hackernews	The Hacker News (RSS)	news	MEDIUM
heise-sec	heise Security	ch-eu,news	HIGH
helpnetsecurity	Help Net Security	news	MEDIUM
huntress	Huntress Labs	research	HIGH
ibm-xforce	IBM X-Force	research,gov	MEDIUM
ico-uk	UK ICO breach notifications	breaches,ch-eu	HIGH
infoguard-ch	InfoGuard	ch-eu,research	HIGH
infosec-magazine	Infosecurity Magazine (RSS)	news	MEDIUM
inside-it-ch	Inside IT Switzerland	ch-eu,news	HIGH
intel471	Intel 471 Blog	research	HIGH
jpcert	JPCERT/CC (Japan)	gov,active-breaking	HIGH
kaspersky-securelist	Kaspersky Securelist (GReAT)	research	HIGH
krebs	Krebs on Security	news	HIGH
kudelski-security	Kudelski Security Research	ch-eu,research	HIGH
le-monde-info	Le Monde Informatique	ch-eu,news	HIGH
malwarebytes	Malwarebytes Labs	news,research	HIGH
mandiant-gtig	Google Cloud / Mandiant (GTIG)	gov,research	HIGH
mozilla-mfsa	Mozilla Foundation Security Advisories	vulns,vendor-psirt	HIGH
msft-ti	Microsoft Threat Intelligence	gov,research	HIGH
ncc-research	NCC Group Research	ch-eu,research	HIGH
ncsc-ch-focus	NCSC Switzerland — Im Fokus	ch-eu,gov	HIGH
ncsc-ch-incidents	NCSC Switzerland — Aktuelle Vorfälle	ch-eu,active-breaking,gov	HIGH
ncsc-ch-security-hub	NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch	ch-eu,active-breaking,gov,vulns	HIGH
ncsc-ie	NCSC Ireland	ch-eu,gov	HIGH
ncsc-uk	NCSC UK	gov,active-breaking	HIGH
oneconsult-ch	OneConsult	ch-eu,research	HIGH
oracle-cpu	Oracle Critical Patch Updates	vulns,vendor-psirt	HIGH
prodaft	PRODAFT — Reports	ch-eu,research	HIGH
projectzero	Google Project Zero	vulns,research	HIGH
push-security	Push Security Blog	research	HIGH
rapid7-research	Rapid7 Research	vulns,research	HIGH
recordedfuture-insikt	Recorded Future Insikt Group	research,gov	HIGH
redcanary	Red Canary	research	HIGH
risky-biz-news	Risky Biz News (Newsletter / Catalin Cimpanu)	news	HIGH
safeonweb-be	Centre for Cybersecurity Belgium (CCB) — Safe On Web	ch-eu,gov	HIGH
sans-ics	SANS ICS	ot-ics,research	HIGH
sans-isc	SANS Internet Storm Center	research,news	HIGH
sans-newsbites	SANS NewsBites	news	HIGH
schneier	Schneier on Security	news	HIGH
scip-ch	scip AG	ch-eu,research	HIGH
sec-disclosures-edgar	SEC EDGAR (8-K cyber filings)	breaches	HIGH
securityaffairs	Security Affairs	news	MEDIUM
securityweek	SecurityWeek	news	MEDIUM
sekoia	Sekoia.io blog	ch-eu,research	HIGH
sentinellabs	SentinelOne / SentinelLabs	research	HIGH
shadowserver	Shadowserver Foundation — News & Insights	research,active-breaking	HIGH
socprime	SOC Prime	research	MEDIUM
sophos-xops	Sophos X-Ops (incl. former Secureworks CTU)	research	HIGH
sygnia	Sygnia	research	HIGH
talos	Cisco Talos	research	HIGH
tenable-research	Tenable Research	vulns,research	HIGH
therecord	The Record (Recorded Future News)	news	HIGH
trellix	Trellix Blogs	research	HIGH
trendmicro-research	Trend Micro Research	research	HIGH
troyhunt	Troy Hunt — Have I Been Pwned	news,breaches	HIGH
truesec	Truesec	ch-eu,research	HIGH
trustwave-spiderlabs	LevelBlue (formerly Trustwave) SpiderLabs	research,vulns	HIGH
unit42	Palo Alto Networks Unit 42	research	HIGH
us-treasury-ofac	US Treasury OFAC — Recent Actions	sanctions,gov	HIGH
volexity	Volexity	research	HIGH
vulncheck	VulnCheck	vulns	HIGH
watchtowr	watchTowr Labs	vulns,research	HIGH
withsecure-labs	WithSecure Labs	ch-eu,research	MEDIUM
wiz-blog	Wiz Research Blog	vulns,research	HIGH
zdi	Zero Day Initiative	vulns,research	HIGH
