advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | [ch-eu,gov,active-breaking,vulns] | HIGH | rss
anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | [ch-eu,gov,active-breaking] | HIGH | webfetch
apple-security | Apple Security Advisories | https://support.apple.com/en-us/100100 | [vulns,vendor-psirt] | HIGH | webfetch
bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | [ch-eu,gov,active-breaking,vulns] | HIGH | rss
cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | [ch-eu,gov,active-breaking] | HIGH | webfetch
cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | [ch-eu,gov,active-breaking] | HIGH | webfetch
chrome-releases | Chrome Releases (Security Updates) | https://chromereleases.googleblog.com/ | [vulns,vendor-psirt] | HIGH | webfetch
cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories | [active-breaking,gov] | HIGH | bridge
cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | [gov,active-breaking] | HIGH | bridge
cisa-kev | CISA Known Exploited Vulnerabilities Catalog | https://www.cisa.gov/known-exploited-vulnerabilities-catalog | [vulns,active-breaking] | HIGH | api
cisco-psirt | Cisco PSIRT (RSS) | https://sec.cloudapps.cisco.com/security/center/psirtrss20/CiscoSecurityAdvisory.xml | [vulns,vendor-psirt] | HIGH | rss
greynoise | GreyNoise Labs | https://www.greynoise.io/blog | [vulns,research] | HIGH | webfetch
jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | [gov,active-breaking] | HIGH | webfetch
mozilla-mfsa | Mozilla Foundation Security Advisories | https://www.mozilla.org/en-US/security/advisories/ | [vulns,vendor-psirt] | HIGH | webfetch
ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | [ch-eu,active-breaking,gov] | HIGH | webfetch
ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | [ch-eu,active-breaking,gov,vulns] | HIGH | api
ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories | [gov,active-breaking] | HIGH | webfetch
oracle-cpu | Oracle Critical Patch Updates | https://www.oracle.com/security-alerts/ | [vulns,vendor-psirt] | HIGH | webfetch
projectzero | Google Project Zero | https://projectzero.google/ | [vulns,research] | HIGH | webfetch
rapid7-research | Rapid7 Research | https://www.rapid7.com/blog/ | [vulns,research] | HIGH | webfetch
shadowserver | Shadowserver Foundation — News & Insights | https://www.shadowserver.org/news-insights/ | [research,active-breaking] | HIGH | webfetch
tenable-research | Tenable Research | https://www.tenable.com/blog | [vulns,research] | HIGH | webfetch
trustwave-spiderlabs | LevelBlue (formerly Trustwave) SpiderLabs | https://www.levelblue.com/blogs/spiderlabs-blog | [research,vulns] | HIGH | webfetch
vulncheck | VulnCheck | https://www.vulncheck.com/blog | [vulns] | HIGH | webfetch
watchtowr | watchTowr Labs | https://labs.watchtowr.com/ | [vulns,research] | HIGH | webfetch
wiz-blog | Wiz Research Blog | https://www.wiz.io/blog | [vulns,research] | HIGH | webfetch
zdi | Zero Day Initiative | https://www.zerodayinitiative.com/blog/ | [vulns,research] | HIGH | webfetch
