## S2 slice
ESSENTIAL (attempt every one):
  - advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | fetch:rss | rel:A | ['en', 'nl']
  - anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | fetch:api | rel:A | ['fr', 'en']
  - bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | fetch:rss | rel:A | ['de', 'en']
  - cert-at | CERT.at (Austria) | https://www.cert.at/en/ | fetch:webfetch | rel:A | ['en', 'de']
  - cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | fetch:api | rel:A | ['en']
  - cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | fetch:webfetch | rel:A | ['en', 'pl']
  - cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories | fetch:bridge | rel:A | ['en']
  - cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | fetch:bridge | rel:A | ['en']
  - enisa | ENISA | https://www.enisa.europa.eu/news | fetch:webfetch | rel:A | ['en']
  - ncsc-ch-focus | NCSC Switzerland — Im Fokus | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/im-fokus.html | fetch:webfetch | rel:A | ['de']
  - ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | fetch:bridge | rel:A | ['de']
  - ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | fetch:api | rel:A | ['de', 'fr', 'it', 'en']
  - ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories | fetch:bridge | rel:A | ['en']
STANDARD (rotational, top by staleness):
  - jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | fetch:webfetch | rel:A | ['en', 'ja']
  - synacktiv | Synacktiv Publications | https://www.synacktiv.com/publications.html | fetch:webfetch | rel:B | ['en', 'fr']
  - google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | fetch:webfetch | rel:B | ['en']
  - intrinsec | Intrinsec | https://www.intrinsec.com/blog/ | fetch:webfetch | rel:B | ['en', 'fr']
  - kudelski-security | Kudelski Security Research | https://kudelskisecurity.com/research-blog | fetch:webfetch | rel:B | ['en']
  - lab52 | Lab52 (S2 Grupo) | https://lab52.io/blog/ | fetch:rss | rel:B | ['en', 'es']
  - le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | fetch:webfetch | rel:C | ['fr']
  - ncc-research | NCC Group Research | https://www.nccgroup.com/research-blog/ | fetch:bridge | rel:B | ['en']
  - ncsc-ie | NCSC Ireland | https://www.ncsc.gov.ie/news/ | fetch:webfetch | rel:A | ['en']
  - cnil-fr | CNIL France | https://www.cnil.fr/en/news | fetch:webfetch | rel:A | ['en', 'fr']
  - govcert-at | GovCERT Austria | https://www.govcert.gv.at/en/ | fetch:rss | rel:A | ['en', 'de']
  - infoguard-ch | InfoGuard | https://www.infoguard.ch/en/blog | fetch:webfetch | rel:B | ['en', 'de']
  - oneconsult-ch | OneConsult | https://www.oneconsult.com/en/blog/ | fetch:webfetch | rel:B | ['en', 'de']
  - scip-ch | scip AG | https://www.scip.ch/?labs | fetch:webfetch | rel:B | ['en', 'de']
