## S4 slice
ESSENTIAL (attempt every one):
STANDARD (rotational, top by staleness):
  - industrialcyber-co | Industrial Cyber (industrialcyber.co) | https://industrialcyber.co | fetch:rss | rel:C | ['en']
  - darkreading | Dark Reading (RSS) | https://www.darkreading.com/rss.xml | fetch:rss | rel:C | ['en']
  - le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | fetch:webfetch | rel:C | ['fr']
  - cnil-fr | CNIL France | https://www.cnil.fr/en/news | fetch:webfetch | rel:A | ['en', 'fr']
  - cyberscoop | CyberScoop | https://cyberscoop.com/ | fetch:rss | rel:B | ['en']
  - malwarebytes | Malwarebytes Labs | https://www.malwarebytes.com/blog | fetch:webfetch | rel:B | ['en']
  - ransomware-live | Ransomware.live | https://www.ransomware.live/ | fetch:api | rel:C | ['en']
  - securityaffairs | Security Affairs | https://securityaffairs.com/ | fetch:webfetch | rel:C | ['en']
  - troyhunt | Troy Hunt — Have I Been Pwned | https://www.troyhunt.com/ | fetch:rss | rel:B | ['en']
  - us-treasury-ofac | US Treasury OFAC — Recent Actions | https://ofac.treasury.gov/recent-actions | fetch:bridge | rel:A | ['en']
  - cyberinsider | CyberInsider | https://cyberinsider.com | fetch:webfetch | rel:C | ['en']
  - cisa-news | CISA News | https://www.cisa.gov/news-events/news | fetch:bridge | rel:A | ['en']
  - helpnetsecurity | Help Net Security | https://www.helpnetsecurity.com/ | fetch:webfetch | rel:C | ['en']
  - ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | fetch:bridge | rel:A | ['en']
