- [essential] advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | fetch=rss | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=en,nl
- [essential] anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | fetch=api | rel=A | cat=ch-eu,gov,active-breaking | lang=fr,en
- [essential] bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | fetch=rss | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=de,en
- [essential] cert-at | CERT.at (Austria) | https://www.cert.at/en/ | fetch=webfetch | rel=A | cat=ch-eu,gov | lang=en,de
- [essential] cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | fetch=api | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=en
- [essential] cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | fetch=webfetch | rel=A | cat=ch-eu,gov,active-breaking | lang=en,pl
- [essential] cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories rss=https://www.cisa.gov/cybersecurity-advisories/all.xml | fetch=bridge | rel=A | cat=active-breaking,gov | lang=en
- [essential] cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | fetch=bridge | rel=A | cat=gov,active-breaking | lang=en
- [essential] enisa | ENISA | https://www.enisa.europa.eu/news | fetch=webfetch | rel=A | cat=ch-eu,gov | lang=en
- [essential] ncsc-ch-focus | NCSC Switzerland — Im Fokus | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/im-fokus.html | fetch=webfetch | rel=A | cat=ch-eu,gov | lang=de
- [essential] ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | fetch=bridge | rel=A | cat=ch-eu,gov | lang=de
- [essential] ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | fetch=api | rel=A | cat=ch-eu,active-breaking,gov,vulns | lang=de,fr,it,en
- [essential] ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories rss=https://www.ncsc.gov.uk/api/1/services/v1/all-rss-feed.xml | fetch=bridge | rel=A | cat=gov,active-breaking | lang=en
- [standard] truesec | Truesec | https://www.truesec.com/hub/blog | fetch=webfetch | rel=B | cat=ch-eu,research,vulns | lang=en
- [standard] withsecure-labs | WithSecure Labs | https://www.withsecure.com/en/resources-hub/w-labs/ | fetch=webfetch | rel=B | cat=ch-eu,research | lang=en
- [standard] infoguard-labs | InfoGuard Labs (Switzerland) | https://labs.infoguard.ch/ | fetch=webfetch | rel=B | cat=research,ch-eu,vulns | lang=en
- [standard] cisa-news | CISA News | https://www.cisa.gov/news-events/news rss=https://www.cisa.gov/news.xml | fetch=bridge | rel=A | cat=gov,news | lang=en
- [standard] edpb | European Data Protection Board | https://www.edpb.europa.eu/news/news_en | fetch=bridge | rel=A | cat=ch-eu,gov | lang=en
- [standard] jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | fetch=webfetch | rel=A | cat=gov,active-breaking,vulns | lang=en,ja
- [standard] le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | fetch=webfetch | rel=C | cat=ch-eu,news | lang=fr
- [standard] synacktiv | Synacktiv Publications | https://www.synacktiv.com/publications.html | fetch=webfetch | rel=B | cat=ch-eu,research,vulns | lang=en,fr
- [standard] cnil-fr | CNIL France | https://www.cnil.fr/en/news | fetch=webfetch | rel=A | cat=breaches,ch-eu | lang=en,fr
- [standard] compass-security | Compass Security Blog | https://blog.compass-security.com/ rss=https://blog.compass-security.com/feed/ | fetch=webfetch | rel=B | cat=ch-eu,research | lang=en,de
- [standard] google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | fetch=webfetch | rel=B | cat=research,gov | lang=en
- [standard] govcert-at | GovCERT Austria | https://www.govcert.gv.at/en/ | fetch=rss | rel=A | cat=ch-eu,gov | lang=en,de
- [standard] heise-sec | heise Security | https://www.heise.de/security/ rss=https://www.heise.de/security/feed.xml | fetch=rss | rel=B | cat=ch-eu,news | lang=de
- [standard] ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | fetch=bridge | rel=A | cat=breaches,ch-eu | lang=en
