- [standard] citizen-lab | Citizen Lab | https://citizenlab.ca/category/research/ | fetch=webfetch | rel=B | cat=research | lang=en
- [standard] cloudflare-cf1 | Cloudflare Cloudforce One | https://blog.cloudflare.com/tag/cloudforce-one/ | fetch=webfetch | rel=B | cat=research | lang=en
- [standard] dragos | Dragos | https://www.dragos.com/blog/ | fetch=webfetch | rel=B | cat=ot-ics,research | lang=en
- [standard] ibm-xforce | IBM X-Force | https://www.ibm.com/think/x-force | fetch=bridge | rel=B | cat=research | lang=en
- [standard] kela-cyber | KELA Cybercrime Threat Intelligence | https://www.kelacyber.com/blog/ | fetch=webfetch | rel=B | cat=research | lang=en
- [standard] nozomi-networks | Nozomi Networks Labs | https://www.nozominetworks.com/blog | fetch=webfetch | rel=B | cat=ot-ics,research | lang=en
- [standard] push-security | Push Security Blog | https://pushsecurity.com/blog | fetch=webfetch | rel=B | cat=research | lang=en
- [standard] redcanary | Red Canary | https://redcanary.com/feed/ | fetch=rss | rel=B | cat=research | lang=en
- [standard] sans-ics | SANS ICS | https://www.sans.org/blog/?focus-area=industrial-control-systems-ics | fetch=webfetch | rel=B | cat=ot-ics,research | lang=en
- [standard] depthfirst | depthfirst.com (security research blog) | https://depthfirst.com | fetch=webfetch | rel=C | cat=research,vulns | lang=en
- [standard] group-ib | Group-IB | https://www.group-ib.com/blog/ | fetch=bridge | rel=B | cat=research | lang=en
- [standard] intel471 | Intel 471 Blog | https://www.intel471.com/blog rss=https://www.intel471.com/blog/feed | fetch=rss | rel=B | cat=research | lang=en
- [standard] morphisec | Morphisec Labs | https://www.morphisec.com/blog/ | fetch=webfetch | rel=C | cat=research,vulns | lang=en
- [standard] resecurity | Resecurity | https://www.resecurity.com/blog | fetch=webfetch | rel=C | cat=research,vulns | lang=en
