actor:888-extortion-handle	actor	888	
actor:apt42	actor	APT42	GreenBravo|Charming Kitten|Mint Sandstorm|CALANQUE ION
actor:cyberav3ngers	actor	CyberAv3ngers	
actor:ababil-of-minab-mois-attribution-lacmta-march-2026-700gb-backups-destroyed	actor	Ababil of Minab	
actor:akira	actor	Akira	
actor:bitter	actor	Bitter	TAG-179|Mysterious Elephant|APT-C-08
actor:cavern-manticore	actor	Cavern Manticore	
actor:dragonforce	actor	DragonForce	
actor:embargo	actor	Embargo	
actor:everest-ransomware	actor	Everest	
actor:fox-tempest	actor	Fox Tempest	
actor:gamaredon	actor	Gamaredon	
actor:gentlemen-raas-gentlekiller	actor	Gentlemen RaaS	 -> MERGED:actor:thegentlemen
actor:greyvibe-russia-nexus-ai-assisted-five-parallel-ukraine-attack	actor	GREYVIBE	
actor:inc-ransom	actor	INC Ransom	INC|INC Ransomware|Lynx
actor:jadepuffer	actor	JADEPUFFER	
actor:kairos-extortion	actor	Kairos	
actor:kimsuky	actor	Kimsuky	Ruby Sleet|APT43|Velvet Chollima
actor:muddywater	actor	MuddyWater	Seedworm
actor:nightmare-eclipse	actor	Nightmare Eclipse	Chaotic Eclipse|INFINITE NIGHTMARE|MSNightmare
actor:oceanlotus	actor	OceanLotus	APT32
actor:oilrig	actor	OilRig	APT34|Helix Kitten|Evasive Serpens|Hazel Sandstorm|SOLAR ION
actor:op-512	actor	OP-512	
actor:qilin	actor	Qilin	Agenda
actor:scarcruft	actor	ScarCruft	APT37|Reaper
actor:screening-serpens-unc1549-smoke-sandstorm-nimbus-manticore-iran-apt	actor	Screening Serpens	UNC1549|Smoke Sandstorm|Nimbus Manticore|Mirage Kitten
actor:secretblizzard	actor	Secret Blizzard	Turla|FSB Centre 16|TURLA RELIC
actor:shinyhunters	actor	ShinyHunters	UNC6240
actor:rhysida	actor	Rhysida	Vice Spider|Vice Society|WhiteNefas|White Hekate|DEV-0832|Vanilla Tempest
actor:storm-2949	actor	Storm-2949	
actor:ta4922	actor	TA4922	
actor:teampcp	actor	TeamPCP	
actor:the-syndicate	actor	The Syndicate	
